Vocabulary,Segmented Vocabulary,Telex Combination
a,a,a
a,a,a
a-ba-giua,a-ba-giua,a-ba-giua
a-ba-toa,a-ba-toa,a-ba-toa
a bàng,a_bàng,a_bafng
a bung,a_bung,a_bung
a di,a_di,a_di
a di đà kinh,a_di_đà_kinh,a_di_ddaf_kinh
a-di-đà phật,a-di-đà_phật,a-di-ddaf_phaajt
a di đà phật,a_di_đà_phật,a_di_ddaf_phaajt
a di đà tam tôn,a_di_đà_tam_tôn,a_di_ddaf_tam_toon
a-dong,a-dong,a-dong
a-dốt,a-dốt,a-doost
a dơi,a_dơi,a_dowi
a du,a_du,a_du
a dua,a_dua,a_dua
a-đa,a-đa,a-dda
a-đam,a-đam,a-ddam
a đảng,a_đảng,a_ddarng
a đẩu,a_đẩu,a_ddaaru
a-đi-xơn,a-đi-xơn,a-ddi-xown
a đới,a_đới,a_ddowsi
a-đrê-na-lin,a-đrê-na-lin,a-ddree-na-lin
a-ga,a-ga,a-ga
a giao,a_giao,a_giao
a-giăng,a-giăng,a-giawng
a-giăng-đa,a-giăng-đa,a-giawng-dda
a-gon,a-gon,a-gon
a ha,a_ha,a_ha
a hành,a_hành,a_hafnh
a hành ác nghiệp,a_hành_ác_nghiệp,a_hafnh_asc_nghieejp
a hành ác tỏi,a_hành_ác_tỏi,a_hafnh_asc_tori
a hoàn,a_hoàn,a_hoafn
a hoành,a_hoành,a_hoafnh
a hộ,a_hộ,a_hooj
a-la,a-la,a-la
a la hán,a_la_hán,a_la_hasn
a-la-hán,a-la-hán,a-la-hasn
a-la-mốt,a-la-mốt,a-la-moost
a-la-văng,a-la-văng,a-la-vawng
a-léc,a-léc,a-lesc
a-len,a-len,a-len
a-lê,a-lê,a-lee
a-lê hấp,a-lê_hấp,a-lee_haasp
a-lô,a-lô,a-loo
a-lu-min,a-lu-min,a-lu-min
a lù,a_lù,a_luf
a lưới,a_lưới,a_luwowsi
a-ma-tơ,a-ma-tơ,a-ma-tow
a-mam,a-mam,a-mam
a-măng,a-măng,a-mawng
a-me-ri-xi,a-me-ri-xi,a-me-ri-xi
a-men,a-men,a-men
a-mi,a-mi,a-mi
a-mi-ăng,a-mi-ăng,a-mi-awng
a-mi-đan,a-mi-đan,a-mi-ddan
a-mi-nô a-xít,a-mi-nô_a-xít,a-mi-noo_a-xist
a-min,a-min,a-min
a-míp,a-míp,a-misp
a-mô-ni-ác,a-mô-ni-ác,a-moo-ni-asc
a-mô-ni-ắc,a-mô-ni-ắc,a-moo-ni-awsc
a mrơn,a_mrơn,a_mrown
a mú sung,a_mú_sung,a_mus_sung
a-nan-gin,a-nan-gin,a-nan-gin
a ngo,a_ngo,a_ngo
a ngu,a_ngu,a_ngu
a nguỳ,a_nguỳ,a_nguyf
a nguỵ,a_nguỵ,a_nguyj
a-ni-lin,a-ni-lin,a-ni-lin
a-ni-ôn,a-ni-ôn,a-ni-oon
a-ni-ông,a-ni-ông,a-ni-oong
a-nô-phen,a-nô-phen,a-noo-phen
a-nốt,a-nốt,a-noost
a-pa-tít,a-pa-tít,a-pa-tist
a pa tít,a_pa_tít,a_pa_tist
a-pác-thai,a-pác-thai,a-pasc-thai
a pác thai,a_pác_thai,a_pasc_thai
a-pê-ri-típ,a-pê-ri-típ,a-pee-ri-tisp
a phiến,a_phiến,a_phieesn
a posteriori,a_posteriori,a_posteriori
a priori,a_priori,a_priori
a-rập học,a-rập_học,a-raajp_hojc
a roàng,a_roàng,a_roafng
a rooi,a_rooi,a_rooi
a-sen,a-sen,a-sen
a-spi-rin,a-spi-rin,a-spi-rin
a-ta-tin,a-ta-tin,a-ta-tin
a tăng kì,a_tăng_kì,a_tawng_kif
a-ti-sô,a-ti-sô,a-ti-soo
a tì địa ngục,a_tì_địa_ngục,a_tif_ddija_ngujc
a tiêng,a_tiêng,a_tieeng
a ting,a_ting,a_ting
a-tlát,a-tlát,a-tlast
a tòng,a_tòng,a_tofng
a-tòrô-pin,a-tòrô-pin,a-tofroo-pin
a-trô-pin,a-trô-pin,a-troo-pin
a-tu-la,a-tu-la,a-tu-la
a-tua-đờ-rôn,a-tua-đờ-rôn,a-tua-ddowf-roon
a túc,a_túc,a_tusc
a tùng,a_tùng,a_tufng
a vao,a_vao,a_vao
a-văng,a-văng,a-vawng
a-văng-ta,a-văng-ta,a-vawng-ta
a-văng-xê,a-văng-xê,a-vawng-xee
a-vi,a-vi,a-vi
a-vô-ca,a-vô-ca,a-voo-ca
a vương,a_vương,a_vuwowng
a xan,a_xan,a_xan
a-xen,a-xen,a-xen
a-xê-ti-len,a-xê-ti-len,a-xee-ti-len
a-xê-ti-len lỏng,a-xê-ti-len_lỏng,a-xee-ti-len_lorng
a-xê-ton,a-xê-ton,a-xee-ton
a-xê-tôn,a-xê-tôn,a-xee-toon
a xing,a_xing,a_xing
a-xit,a-xit,a-xit
a-xít,a-xít,a-xist
a xít,a_xít,a_xist
a-xít a-min,a-xít_a-min,a-xist_a-min
a-xít a-sco-bic,a-xít_a-sco-bic,a-xist_a-sco-bic
a-xít a-xê-tic,a-xít_a-xê-tic,a-xist_a-xee-tic
a-xít béo,a-xít_béo,a-xist_beso
a-xít các-bon-nic,a-xít_các-bon-nic,a-xist_casc-bon-nic
a-xít clo-hi-đríc,a-xít_clo-hi-đríc,a-xist_clo-hi-ddrisc
a-xít đường,a-xít_đường,a-xist_dduwowfng
a-xít lác-tíc,a-xít_lác-tíc,a-xist_lasc-tisc
a-xít lưu huỳnh,a-xít_lưu_huỳnh,a-xist_luwu_huyfnh
a-xít sun-fu-ric,a-xít_sun-fu-ric,a-xist_sun-fu-ric
a-xphan,a-xphan,a-xphan
a-xpi-rin,a-xpi-rin,a-xpi-rin
a yun,a_yun,a_yun
a-zốt,a-zốt,a-zoost
à,à,af
à à,à_à,af_af
à này,à_này,af_nafy
à ơi,à_ơi,af_owi
à uôm,à_uôm,af_uoom
ả,ả,ar
ả đào,ả_đào,ar_ddafo
ả đầu,ả_đầu,ar_ddaafu
ả hằng,ả_hằng,ar_hawfng
ả hoàn,ả_hoàn,ar_hoafn
ả phiện,ả_phiện,ar_phieejn
ả phù dung,ả_phù_dung,ar_phuf_dung
á,á,as
á à,á_à,as_af
á châu,á_châu,as_chaau
á đông,á_đông,as_ddoong
á hậu,á_hậu,as_haaju
á hoang mạc,á_hoang_mạc,as_hoang_majc
á khanh,á_khanh,as_khanh
á khẩu,á_khẩu,as_khaaru
á khôi,á_khôi,as_khooi
á kim,á_kim,as_kim
á lao,á_lao,as_lao
á nguyên,á_nguyên,as_nguyeen
á nhiệt đới,á_nhiệt_đới,as_nhieejt_ddowsi
á phiện,á_phiện,as_phieejn
á quân,á_quân,as_quaan
á sừng,á_sừng,as_suwfng
á thánh,á_thánh,as_thasnh
ạ,ạ,aj
ạ ơi,ạ_ơi,aj_owi
abc,abc,abc
abc,abc,abc
ác,ác,asc
ác (một) cái là,ác_(một)_cái_là,asc_(moojt)_casi_laf
ác (một) nỗi là,ác_(một)_nỗi_là,asc_(moojt)_nooxi_laf
ác bá,ác_bá,asc_bas
ác báo,ác_báo,asc_baso
ác-bít,ác-bít,asc-bist
ác-bít hối đoái,ác-bít_hối_đoái,asc-bist_hoosi_ddoasi
ác cảm,ác_cảm,asc_carm
ác chiến,ác_chiến,asc_chieesn
ác chứng,ác_chứng,asc_chuwsng
ác-coóc,ác-coóc,asc-coosc
ác-coóc-đê-ông,ác-coóc-đê-ông,asc-coosc-ddee-oong
ác danh,ác_danh,asc_danh
ác dâm,ác_dâm,asc_daam
ác đảng,ác_đảng,asc_ddarng
ác đạo,ác_đạo,asc_ddajo
ác điểu,ác_điểu,asc_ddieeru
ác độc,ác_độc,asc_ddoojc
ác đức,ác_đức,asc_dduwsc
ác giả ác báo,ác_giả_ác_báo,asc_giar_asc_baso
ác hại,ác_hại,asc_haji
ác hiểm,ác_hiểm,asc_hieerm
ác khẩu,ác_khẩu,asc_khaaru
ác là,ác_là,asc_laf
ác liệt,ác_liệt,asc_lieejt
ác ma,ác_ma,asc_ma
ác ma phái,ác_ma_phái,asc_ma_phasi
ác miệng,ác_miệng,asc_mieejng
ác mỏ,ác_mỏ,asc_mor
ác mó,ác_mó,asc_mos
ác mọc lông trong bụng,ác_mọc_lông_trong_bụng,asc_mojc_loong_trong_bujng
ác-mô-ni-ca,ác-mô-ni-ca,asc-moo-ni-ca
ác mô ni ca,ác_mô_ni_ca,asc_moo_ni_ca
ác mồm,ác_mồm,asc_moofm
ác mộng,ác_mộng,asc_moojng
ác một cái là,ác_một_cái_là,asc_moojt_casi_laf
ác nghịch,ác_nghịch,asc_nghijch
ác nghiệp,ác_nghiệp,asc_nghieejp
ác nghiệp cơ cầu,ác_nghiệp_cơ_cầu,asc_nghieejp_cow_caafu
ác nghiệt,ác_nghiệt,asc_nghieejt
ác ngôn,ác_ngôn,asc_ngoon
ác nhân,ác_nhân,asc_nhaan
ác niệm,ác_niệm,asc_nieejm
ác ó,ác_ó,asc_os
ác ôn,ác_ôn,asc_oon
ác phạm,ác_phạm,asc_phajm
ác quả,ác_quả,asc_quar
ác quán mãn doanh,ác_quán_mãn_doanh,asc_quasn_maxn_doanh
ác quỉ,ác_quỉ,asc_quir
ác-quy,ác-quy,asc-quy
ác quỷ,ác_quỷ,asc_quyr
ác tà,ác_tà,asc_taf
ác tăng,ác_tăng,asc_tawng
ác tâm,ác_tâm,asc_taam
ác tật,ác_tật,asc_taajt
ác-ten,ác-ten,asc-ten
ác-ten nông nghiệp,ác-ten_nông_nghiệp,asc-ten_noong_nghieejp
ác thần,ác_thần,asc_thaafn
ác thú,ác_thú,asc_thus
ác-ti-sô,ác-ti-sô,asc-ti-soo
ác tính,ác_tính,asc_tisnh
ác vàng,ác_vàng,asc_vafng
ác ý,ác_ý,asc_ys
acbit hối đoái,acbit_hối_đoái,acbit_hoosi_ddoasi
accordeon,accordeon,accordeon
aceton,aceton,aceton
acetylen,acetylen,acetylen
ách,ách,asch
ách tắc,ách_tắc,asch_tawsc
ách vận,ách_vận,asch_vaajn
ách yếu,ách_yếu,asch_yeesu
ạch,ạch,ajch
ạch đụi,ạch_đụi,ajch_dduji
acid,acid,acid
acid acetic,acid_acetic,acid_acetic
acid amin,acid_amin,acid_amin
acid béo,acid_béo,acid_beso
acid carbonic,acid_carbonic,acid_carbonic
acid chlorhydric,acid_chlorhydric,acid_chlorhydric
acid nitric,acid_nitric,acid_nitric
acid sulfuric,acid_sulfuric,acid_sulfuric
acmonica,acmonica,acmonica
acquy,acquy,acquy
acre,acre,acre
acten nông nghiệp,acten_nông_nghiệp,acten_noong_nghieejp
ad hoc,ad_hoc,ad_hoc
ad hoc,ad_hoc,ad_hoc
adn,adn,adn
adrenalin,adrenalin,adrenalin
afghani,afghani,afghani
ag,ag,ag
ai,ai,ai
ai ai,ai_ai,ai_ai
ai bảo,ai_bảo,ai_baro
ai bi,ai_bi,ai_bi
ai biết đâu,ai_biết_đâu,ai_bieest_ddaau
ai biết phận nấy,ai_biết_phận_nấy,ai_bieest_phaajn_naasy
ai cảm,ai_cảm,ai_carm
ai cắt rốn cho,ai_cắt_rốn_cho,ai_cawst_roosn_cho
ai cập học,ai_cập_học,ai_caajp_hojc
ai chỉ,ai_chỉ,ai_chir
ai dà,ai_dà,ai_daf
ai dè,ai_dè,ai_def
ai điếu,ai_điếu,ai_ddieesu
ai đời,ai_đời,ai_ddowfi
ai hoài,ai_hoài,ai_hoafi
ai khảo mà xưng,ai_khảo_mà_xưng,ai_kharo_maf_xuwng
ai khiến,ai_khiến,ai_khieesn
ai lại,ai_lại,ai_laji
ai mà,ai_mà,ai_maf
ai mượn,ai_mượn,ai_muwowjn
ai nấy,ai_nấy,ai_naasy
ai ngờ,ai_ngờ,ai_ngowf
ai oán,ai_oán,ai_oasn
ai tư vãn,ai_tư_vãn,ai_tuw_vaxn
ai tử,ai_tử,ai_tuwr
ải,ải,ari
ải ải,ải_ải,ari_ari
ải mục,ải_mục,ari_mujc
ải phà,ải_phà,ari_phaf
ải quan,ải_quan,ari_quan
ải thâm,ải_thâm,ari_thaam
ái,ái,asi
ái ân,ái_ân,asi_aan
ái căn,ái_căn,asi_cawn
ái chà,ái_chà,asi_chaf
ái chà chà,ái_chà_chà,asi_chaf_chaf
ái dà,ái_dà,asi_daf
ái dào,ái_dào,asi_dafo
ái đái,ái_đái,asi_ddasi
ái hộ,ái_hộ,asi_hooj
ái hữu,ái_hữu,asi_huwxu
ái hữu hội,ái_hữu_hội,asi_huwxu_hooji
ái khanh,ái_khanh,asi_khanh
ái khí,ái_khí,asi_khis
ái kỉ,ái_kỉ,asi_kir
ái lực,ái_lực,asi_luwjc
ái lực điện tử,ái_lực_điện_tử,asi_luwjc_ddieejn_tuwr
ái lực hoá học,ái_lực_hoá_học,asi_luwjc_hoas_hojc
ái mộ,ái_mộ,asi_mooj
ái nam ái nữ,ái_nam_ái_nữ,asi_nam_asi_nuwx
ái ngại,ái_ngại,asi_ngaji
ái nghĩa,ái_nghĩa,asi_nghixa
ái nhi,ái_nhi,asi_nhi
ái nhiễm,ái_nhiễm,asi_nhieexm
ái nữ,ái_nữ,asi_nuwx
ái nương,ái_nương,asi_nuwowng
ái ố mĩ miều gì,ái_ố_mĩ_miều_gì,asi_oos_mix_mieefu_gif
ái phi,ái_phi,asi_phi
ái quần,ái_quần,asi_quaafn
ái quốc,ái_quốc,asi_quoosc
ái quốc,ái_quốc,asi_quoosc
ái tài,ái_tài,asi_tafi
ái thần,ái_thần,asi_thaafn
ái thê,ái_thê,asi_thee
ái thiếp,ái_thiếp,asi_thieesp
ái thuỷ,ái_thuỷ,asi_thuyr
ái tiền,ái_tiền,asi_tieefn
ái tình,ái_tình,asi_tifnh
ái tình học,ái_tình_học,asi_tifnh_hojc
ái ưu,ái_ưu,asi_uwu
aids,aids,aids
ak,ak,ak
al,al,al
album,album,album
albumin,albumin,albumin
alcaloid,alcaloid,alcaloid
aldehyd,aldehyd,aldehyd
algol,algol,algol
algorithm,algorithm,algorithm
almanac,almanac,almanac
alô,alô,aloo
alpha,alpha,alpha
alphabet,alphabet,alphabet
alumin,alumin,alumin
am,am,am
am,am,am
am đồng,am_đồng,am_ddoofng
am hiểu,am_hiểu,am_hieeru
am mây,am_mây,am_maay
am-mô-ni-ắc,am-mô-ni-ắc,am-moo-ni-awsc
am-pe,am-pe,am-pe
am-pe giờ,am-pe_giờ,am-pe_giowf
am-pe kế,am-pe_kế,am-pe_kees
am-pli,am-pli,am-pli
am-pun,am-pun,am-pun
am thanh cảnh vắng,am_thanh_cảnh_vắng,am_thanh_carnh_vawsng
am tự,am_tự,am_tuwj
am tường,am_tường,am_tuwowfng
am váp,am_váp,am_vasp
ảm đạm,ảm_đạm,arm_ddajm
ám,ám,asm
ám ảnh,ám_ảnh,asm_arnh
ám chỉ,ám_chỉ,asm_chir
ám chúa,ám_chúa,asm_chusa
ám chướng,ám_chướng,asm_chuwowsng
ám đạm,ám_đạm,asm_ddajm
ám điểm,ám_điểm,asm_ddieerm
ám hại,ám_hại,asm_haji
ám hiệu,ám_hiệu,asm_hieeju
ám khí,ám_khí,asm_khis
ám lệnh,ám_lệnh,asm_leejnh
ám muội,ám_muội,asm_muooji
ám quẻ,ám_quẻ,asm_quer
ám sát,ám_sát,asm_sast
ám tả,ám_tả,asm_tar
ám thị,ám_thị,asm_thij
ám tiêu,ám_tiêu,asm_tieeu
ám trợ,ám_trợ,asm_trowj
amatơ,amatơ,amatow
amen,amen,amen
amian,amian,amian
amib,amib,amib
amiđan,amiđan,amiddan
aminoacid,aminoacid,aminoacid
amip,amip,amip
ammoniac,ammoniac,ammoniac
ampe,ampe,ampe
ampe kế,ampe_kế,ampe_kees
ampere,ampere,ampere
ampere kế,ampere_kế,ampere_kees
ampli,ampli,ampli
amygdal,amygdal,amygdal
an,an,an
an ấp,an_ấp,an_aasp
an bá,an_bá,an_bas
an bài,an_bài,an_bafi
an bài,an_bài,an_bafi
an bang,an_bang,an_bang
an bần,an_bần,an_baafn
an bần lạc đạo,an_bần_lạc_đạo,an_baafn_lajc_ddajo
an biên,an_biên,an_bieen
an biên,an_biên,an_bieen
an bình,an_bình,an_bifnh
an bình,an_bình,an_bifnh
an bình a,an_bình_a,an_bifnh_a
an bình b,an_bình_b,an_bifnh_b
an bình tây,an_bình_tây,an_bifnh_taay
an-bom,an-bom,an-bom
an bồi,an_bồi,an_boofi
an-bu-min,an-bu-min,an-bu-min
an-ca-lo-ít,an-ca-lo-ít,an-ca-lo-ist
an-ca-lô-ít,an-ca-lô-ít,an-ca-loo-ist
an cầu,an_cầu,an_caafu
an chấn,an_chấn,an_chaasn
an châu,an_châu,an_chaau
an-côn,an-côn,an-coon
an cư,an_cư,an_cuw
an cư,an_cư,an_cuw
an cư,an_cư,an_cuw
an cư lạc nghiệp,an_cư_lạc_nghiệp,an_cuw_lajc_nghieejp
an cựu,an_cựu,an_cuwju
an dạ,an_dạ,an_daj
an dân,an_dân,an_daan
an dân,an_dân,an_daan
an dật,an_dật,an_daajt
an dục,an_dục,an_dujc
an dũng,an_dũng,an_duxng
an dương,an_dương,an_duwowng
an dương vương,an_dương_vương,an_duwowng_vuwowng
an dưỡng,an_dưỡng,an_duwowxng
an dưỡng đường,an_dưỡng_đường,an_duwowxng_dduwowfng
an đạo,an_đạo,an_ddajo
an-đe-hít,an-đe-hít,an-dde-hist
an-đê-hít,an-đê-hít,an-ddee-hist
an điền,an_điền,an_ddieefn
an định,an_định,an_ddijnh
an đô,an_đô,an_ddoo
an đôn phác,an_đôn_phác,an_ddoon_phasc
an đồng,an_đồng,an_ddoofng
an đức,an_đức,an_dduwsc
an đức tây,an_đức_tây,an_dduwsc_taay
an giang,an_giang,an_giang
an giấc,an_giấc,an_giaasc
an giấc ngàn thu,an_giấc_ngàn_thu,an_giaasc_ngafn_thu
an giấc nghìn thu,an_giấc_nghìn_thu,an_giaasc_nghifn_thu
an-gin,an-gin,an-gin
an-go-rít,an-go-rít,an-go-rist
an-gô-rít,an-gô-rít,an-goo-rist
an hà,an_hà,an_haf
an hải,an_hải,an_hari
an hải bắc,an_hải_bắc,an_hari_bawsc
an hải đông,an_hải_đông,an_hari_ddoong
an hải tây,an_hải_tây,an_hari_taay
an hảo,an_hảo,an_haro
an hảo,an_hảo,an_haro
an hiệp,an_hiệp,an_hieejp
an hoà,an_hoà,an_hoaf
an hoà tây,an_hoà_tây,an_hoaf_taay
an hoá,an_hoá,an_hoas
an hội,an_hội,an_hooji
an hồng,an_hồng,an_hoofng
an hùng,an_hùng,an_hufng
an hưng,an_hưng,an_huwng
an hưởng,an_hưởng,an_huwowrng
an hữu,an_hữu,an_huwxu
an-két,an-két,an-kest
an khang,an_khang,an_khang
an khang,an_khang,an_khang
an khánh,an_khánh,an_khasnh
an khê,an_khê,an_khee
an khương,an_khương,an_khuwowng
an lạc,an_lạc,an_lajc
an lạc,an_lạc,an_lajc
an lạc tây,an_lạc_tây,an_lajc_taay
an lạc thôn,an_lạc_thôn,an_lajc_thoon
